Date,Scheme,NAV
2022-01-01,Scheme_01,50.17
2022-01-02,Scheme_01,50.15
2022-01-03,Scheme_01,50.36
2022-01-04,Scheme_01,50.84
2022-01-05,Scheme_01,50.79
2022-01-06,Scheme_01,50.74
2022-01-07,Scheme_01,51.23
2022-01-08,Scheme_01,51.48
2022-01-09,Scheme_01,51.36
2022-01-10,Scheme_01,51.54
2022-01-11,Scheme_01,51.43
2022-01-12,Scheme_01,51.31
2022-01-13,Scheme_01,51.4
2022-01-14,Scheme_01,50.84
2022-01-15,Scheme_01,50.35
2022-01-16,Scheme_01,50.2
2022-01-17,Scheme_01,49.91
2022-01-18,Scheme_01,50.03
2022-01-19,Scheme_01,49.78
2022-01-20,Scheme_01,49.37
2022-01-21,Scheme_01,49.83
2022-01-22,Scheme_01,49.78
2022-01-23,Scheme_01,49.82
2022-01-24,Scheme_01,49.42
2022-01-25,Scheme_01,49.27
2022-01-26,Scheme_01,49.33
2022-01-27,Scheme_01,49.0
2022-01-28,Scheme_01,49.13
2022-01-29,Scheme_01,48.97
2022-01-30,Scheme_01,48.91
2022-01-31,Scheme_01,48.75
2022-02-01,Scheme_01,49.32
2022-02-02,Scheme_01,49.34
2022-02-03,Scheme_01,49.04
2022-02-04,Scheme_01,49.31
2022-02-05,Scheme_01,48.96
2022-02-06,Scheme_01,49.04
2022-02-07,Scheme_01,48.48
2022-02-08,Scheme_01,48.1
2022-02-09,Scheme_01,48.18
2022-02-10,Scheme_01,48.42
2022-02-11,Scheme_01,48.49
2022-02-12,Scheme_01,48.47
2022-02-13,Scheme_01,48.4
2022-02-14,Scheme_01,47.98
2022-02-15,Scheme_01,47.78
2022-02-16,Scheme_01,47.67
2022-02-17,Scheme_01,48.0
2022-02-18,Scheme_01,48.13
2022-02-19,Scheme_01,47.62
2022-02-20,Scheme_01,47.74
2022-02-21,Scheme_01,47.64
2022-02-22,Scheme_01,47.46
2022-02-23,Scheme_01,47.66
2022-02-24,Scheme_01,47.99
2022-02-25,Scheme_01,48.29
2022-02-26,Scheme_01,48.06
2022-02-27,Scheme_01,47.98
2022-02-28,Scheme_01,48.1
2022-03-01,Scheme_01,48.42
2022-03-02,Scheme_01,48.29
2022-03-03,Scheme_01,48.26
2022-03-04,Scheme_01,47.94
2022-03-05,Scheme_01,47.61
2022-03-06,Scheme_01,47.87
2022-03-07,Scheme_01,48.3
2022-03-08,Scheme_01,48.3
2022-03-09,Scheme_01,48.62
2022-03-10,Scheme_01,48.74
2022-03-11,Scheme_01,48.57
2022-03-12,Scheme_01,48.7
2022-03-13,Scheme_01,49.18
2022-03-14,Scheme_01,49.19
2022-03-15,Scheme_01,49.68
2022-03-16,Scheme_01,48.91
2022-03-17,Scheme_01,49.18
2022-03-18,Scheme_01,49.23
2022-03-19,Scheme_01,49.16
2022-03-20,Scheme_01,49.2
2022-03-21,Scheme_01,48.63
2022-03-22,Scheme_01,48.58
2022-03-23,Scheme_01,48.71
2022-03-24,Scheme_01,49.17
2022-03-25,Scheme_01,49.04
2022-03-26,Scheme_01,48.81
2022-03-27,Scheme_01,48.68
2022-03-28,Scheme_01,48.98
2022-03-29,Scheme_01,49.1
2022-03-30,Scheme_01,48.96
2022-03-31,Scheme_01,49.13
2022-04-01,Scheme_01,49.18
2022-04-02,Scheme_01,49.49
2022-04-03,Scheme_01,49.3
2022-04-04,Scheme_01,49.22
2022-04-05,Scheme_01,49.13
2022-04-06,Scheme_01,48.71
2022-04-07,Scheme_01,48.82
2022-04-08,Scheme_01,48.91
2022-04-09,Scheme_01,48.93
2022-04-10,Scheme_01,48.88
2022-04-11,Scheme_01,48.48
2022-04-12,Scheme_01,48.37
2022-04-13,Scheme_01,48.29
2022-04-14,Scheme_01,48.07
2022-04-15,Scheme_01,48.04
2022-04-16,Scheme_01,48.18
2022-04-17,Scheme_01,48.77
2022-04-18,Scheme_01,48.84
2022-04-19,Scheme_01,48.94
2022-04-20,Scheme_01,48.94
2022-04-21,Scheme_01,48.38
2022-04-22,Scheme_01,48.39
2022-04-23,Scheme_01,48.43
2022-04-24,Scheme_01,49.19
2022-04-25,Scheme_01,49.15
2022-04-26,Scheme_01,49.26
2022-04-27,Scheme_01,49.27
2022-04-28,Scheme_01,48.94
2022-04-29,Scheme_01,49.3
2022-04-30,Scheme_01,49.55
2022-05-01,Scheme_01,49.81
2022-05-02,Scheme_01,49.55
2022-05-03,Scheme_01,50.0
2022-05-04,Scheme_01,49.59
2022-05-05,Scheme_01,49.79
2022-05-06,Scheme_01,50.47
2022-05-07,Scheme_01,50.19
2022-05-08,Scheme_01,50.04
2022-05-09,Scheme_01,50.09
2022-05-10,Scheme_01,49.96
2022-05-11,Scheme_01,49.51
2022-05-12,Scheme_01,49.56
2022-05-13,Scheme_01,49.26
