"Date","Price","Open","High","Low","Vol.","Change %"
"31-12-2025","26,689.30","26,520.80","26,744.40","26,519.10","458.50M","0.78%"
"30-12-2025","26,482.55","26,479.85","26,522.40","26,411.50","673.28M","0.00%"
"29-12-2025","26,483.45","26,612.35","26,641.90","26,460.05","498.86M","-0.40%"
"26-12-2025","26,589.35","26,658.50","26,692.15","26,551.70","429.74M","-0.32%"
"24-12-2025","26,674.50","26,713.75","26,773.25","26,653.05","351.48M","-0.14%"
"23-12-2025","26,713.15","26,734.05","26,766.60","26,650.25","414.70M","0.07%"
"22-12-2025","26,693.20","26,579.40","26,701.75","26,565.30","432.45M","0.77%"
"19-12-2025","26,488.00","26,414.20","26,500.30","26,391.40","580.44M","0.62%"
"18-12-2025","26,324.65","26,295.45","26,410.90","26,222.45","354.64M","-0.07%"
"17-12-2025","26,342.65","26,435.85","26,472.30","26,291.65","403.07M","-0.20%"
"16-12-2025","26,394.50","26,489.25","26,509.30","26,365.50","449.74M","-0.61%"
"15-12-2025","26,555.35","26,460.20","26,570.85","26,415.75","383.32M","-0.04%"
"12-12-2025","26,565.10","26,477.25","26,576.80","26,447.70","431.66M","0.62%"
"11-12-2025","26,402.45","26,275.25","26,425.15","26,188.75","398.18M","0.55%"
"10-12-2025","26,259.25","26,362.95","26,462.60","26,238.05","393.44M","-0.30%"
"09-12-2025","26,337.35","26,320.90","26,408.60","26,162.55","508.23M","-0.30%"
"08-12-2025","26,415.55","26,673.60","26,690.75","26,346.40","521.85M","-1.05%"
"05-12-2025","26,696.90","26,527.70","26,711.95","26,509.40","413.41M","0.53%"
"04-12-2025","26,557.00","26,505.40","26,627.45","26,471.40","430.39M","0.19%"
"03-12-2025","26,506.10","26,572.90","26,623.70","26,418.15","544.77M","-0.33%"
"02-12-2025","26,592.85","26,638.15","26,709.50","26,554.15","920.25M","-0.47%"
"01-12-2025","26,719.75","26,859.40","26,859.50","26,663.60","384.84M","-0.07%"
"28-11-2025","26,737.80","26,763.25","26,803.25","26,701.40","415.33M","-0.02%"
